,N,variable,value
0,7980,error,4.43152180487755e-13
1,8140,error,1.2043145404009759e-11
2,20414,error,8.256239966082104e-15
3,72000,error,1.501744318768126e-08
4,96307,error,4.0271812933242365e-14
5,513351,error,1.3226423060529224e-05
6,1585478,error,3.851552477352971e-12
7,7980,time,2.381261110305786
8,8140,time,1.7343358993530273
9,20414,time,11.249983072280884
10,72000,time,11723.76565027237
11,96307,time,8.734355449676514
12,513351,time,2.1875052452087402
13,1585478,time,657.0156342983246
14,7980,memory,148050.0
15,8140,memory,140676.0
16,20414,memory,349334.0
17,72000,memory,651896.0
18,96307,memory,1639547.0
19,513351,memory,4624055.0
20,1585478,memory,14273230.0
